,CELEX number,Category
157,31996D0514,search-results-emailed.csv
158,31996D0560,search-results-emailed.csv
159,31996D0575,search-results-emailed.csv
160,31996D0576,search-results-emailed.csv
161,31996D0591,search-results-emailed.csv
162,31996D0671,search-results-emailed.csv
163,31996Y0801(01),"resolution.csv, search-results-emailed.csv"
164,31996Y0810(01),"resolution.csv, search-results-emailed.csv"
165,31997D0376,search-results-emailed.csv
166,31997D0577,search-results-emailed.csv
167,31997D0873,search-results-emailed.csv
168,31997Y0711(01),"resolution.csv, search-results-emailed.csv"
169,31997Y0925(01),"opinion.csv, search-results-emailed.csv"
170,31997Y0925(02),"opinion.csv, search-results-emailed.csv"
171,31997Y1219(01),"opinion.csv, search-results-emailed.csv"
172,31998D0635,search-results-emailed.csv
173,31998D0636,search-results-emailed.csv
174,31998D0637,search-results-emailed.csv
175,31998D0687,search-results-emailed.csv
176,31998D0704,"search-results-emailed.csv, decision.csv"
177,31998Y0108(01),"resolution.csv, search-results-emailed.csv"
178,31998Y0624(01),"resolution.csv, search-results-emailed.csv"
179,31998Y1120(03),"special-report.csv, search-results-emailed.csv"
180,31998Y1217(01),"resolution.csv, search-results-emailed.csv"
181,31999D0175,search-results-emailed.csv
182,31999D0176,search-results-emailed.csv
183,31999D0270,search-results-emailed.csv
184,31999D0280,search-results-emailed.csv
185,31999D0299,search-results-emailed.csv
186,31999D0451,search-results-emailed.csv
187,31999D0566,search-results-emailed.csv
188,31999D0791,search-results-emailed.csv
189,31999D0792,search-results-emailed.csv
190,31999D0793,search-results-emailed.csv
191,31999D0794,search-results-emailed.csv
192,31999D0795,search-results-emailed.csv
193,31999D0796,search-results-emailed.csv
194,31999D0797,search-results-emailed.csv
195,31999D0798,search-results-emailed.csv
196,31999H0028,"search-results-emailed.csv, recommendation.csv"
197,31999R2587,"regulation.csv, search-results-emailed.csv"
198,31999Y0209(01),"special-report.csv, search-results-emailed.csv"
199,31999Y0409(01),"opinion.csv, search-results-emailed.csv"
200,31999Y0409(02),"opinion.csv, search-results-emailed.csv"
201,31999Y0409(03),"opinion.csv, search-results-emailed.csv"
202,31999Y0806(01),"opinion.csv, search-results-emailed.csv"
203,31999Y0917(02),"communication.csv, search-results-emailed.csv"
204,31999Y1109(02),"resolution.csv, search-results-emailed.csv"
205,31999Y1126(02),"opinion.csv, search-results-emailed.csv"
206,32000L0084,"directive.csv, search-results-emailed.csv"
207,32000R1209,"regulation.csv, search-results-emailed.csv"
208,32000Y0209(01),"opinion.csv, search-results-emailed.csv"
209,32000Y0705(01),"opinion.csv, search-results-emailed.csv"
210,32000Y0804(01),"opinion.csv, search-results-emailed.csv"
211,32000Y0804(02),"opinion.csv, search-results-emailed.csv"
212,32000Y1019(01),"opinion.csv, search-results-emailed.csv"
213,32001A0306(01),"opinion.csv, search-results-emailed.csv"
214,32001A0421(01),"opinion.csv, search-results-emailed.csv"
215,32001A0720(01),"opinion.csv, search-results-emailed.csv"
216,32001A1114(01),"opinion.csv, search-results-emailed.csv"
217,32001A1218(01),"opinion.csv, search-results-emailed.csv"
218,32001D0058,search-results-emailed.csv
219,32001D0162,search-results-emailed.csv
220,32001D0340,search-results-emailed.csv
221,32001D0361,search-results-emailed.csv
222,32001D0546,"search-results-emailed.csv, decision.csv"
223,32001D0595,"search-results-emailed.csv, decision.csv"
224,32001D0597,search-results-emailed.csv
225,32001D0761,"search-results-emailed.csv, decision.csv"
226,32001D0807,search-results-emailed.csv
227,32001Y0113(01),"opinion.csv, search-results-emailed.csv"
228,32001Y0123(02),"opinion.csv, search-results-emailed.csv"
229,32002A0205(01),"opinion.csv, search-results-emailed.csv"
230,32002A0205(02),"opinion.csv, search-results-emailed.csv"
231,32002A0410(01),"opinion.csv, search-results-emailed.csv"
232,32002A0410(02),"opinion.csv, search-results-emailed.csv"
233,32002A0424(01),"opinion.csv, search-results-emailed.csv"
234,32002A0424(02),"opinion.csv, search-results-emailed.csv"
235,32002A0424(03),"opinion.csv, search-results-emailed.csv"
236,32002A0501(01),"opinion.csv, search-results-emailed.csv"
237,32002A0625(01),"opinion.csv, search-results-emailed.csv"
238,32002A0822(01),"opinion.csv, search-results-emailed.csv"
239,32002A0822(02),"opinion.csv, search-results-emailed.csv"
240,32002A0903(01),"opinion.csv, search-results-emailed.csv"
241,32002A0903(02),"opinion.csv, search-results-emailed.csv"
242,32002A0903(03),"opinion.csv, search-results-emailed.csv"
243,32002A1016(01),"opinion.csv, search-results-emailed.csv"
244,32002A1127(01),"opinion.csv, search-results-emailed.csv"
245,32002A1129(01),"opinion.csv, search-results-emailed.csv"
246,32002D0082,search-results-emailed.csv
247,32002D0171,search-results-emailed.csv
248,32002D0241,search-results-emailed.csv
249,32002D0541,search-results-emailed.csv
250,32002D0582,search-results-emailed.csv
251,32002D0583,search-results-emailed.csv
252,32002D0786,search-results-emailed.csv
253,32002D0787,search-results-emailed.csv
254,32002D0826,search-results-emailed.csv
255,32002D0827,search-results-emailed.csv
256,32002D0871,search-results-emailed.csv
257,32002G0522(01),"resolution.csv, search-results-emailed.csv"
258,32003A0204(07),"opinion.csv, search-results-emailed.csv"
259,32003A0801(01),"opinion.csv, search-results-emailed.csv"
260,32003A1004(01),"opinion.csv, search-results-emailed.csv"
261,32003A1022(01),"opinion.csv, search-results-emailed.csv"
262,32003A1022(02),"opinion.csv, search-results-emailed.csv"
263,32003A1022(03),"opinion.csv, search-results-emailed.csv"
264,32003A1211(01),"opinion.csv, search-results-emailed.csv"
265,32003D0029,search-results-emailed.csv
266,32003D0269,"search-results-emailed.csv, decision.csv"
267,32004A0207(01),"opinion.csv, search-results-emailed.csv"
268,32004A1016(01),"opinion.csv, search-results-emailed.csv"
269,32005D0042,"search-results-emailed.csv, decision.csv"
270,32005D0336,"search-results-emailed.csv, decision.csv"
271,32005H0885,"search-results-emailed.csv, recommendation.csv"
272,32005R0302,"regulation.csv, search-results-emailed.csv"
273,32006D0626,search-results-emailed.csv
274,32006D0908,"search-results-emailed.csv, decision.csv"
275,32006D0943,search-results-emailed.csv
276,32006H0040,"search-results-emailed.csv, recommendation.csv"
277,32006R0066,"regulation.csv, search-results-emailed.csv"
278,32007A1221(01),"opinion.csv, search-results-emailed.csv"
279,32007D0198,search-results-emailed.csv
280,32007D0513,"search-results-emailed.csv, decision.csv"
281,32008A0509(01),"opinion.csv, search-results-emailed.csv"
282,32008D0114,"search-results-emailed.csv, decision.csv"
283,32008D0952,search-results-emailed.csv
284,32008R1099,"regulation.csv, search-results-emailed.csv"
285,32008R1275,"regulation.csv, search-results-emailed.csv"
286,32009A0707(01),"opinion.csv, search-results-emailed.csv"
287,32009D0410,search-results-emailed.csv
288,32009D0546,search-results-emailed.csv
289,32009D0789,"search-results-emailed.csv, decision.csv"
290,32009D0806,"search-results-emailed.csv, decision.csv"
291,32009D0954,"search-results-emailed.csv, decision.csv"
292,32009H0120,"search-results-emailed.csv, recommendation.csv"
293,32009L0119,"directive.csv, search-results-emailed.csv"
294,32009L0125,"directive.csv, search-results-emailed.csv"
295,32009L0126,"directive.csv, search-results-emailed.csv"
296,32009R0107,"regulation.csv, search-results-emailed.csv"
297,32009R0641,"regulation.csv, search-results-emailed.csv"
298,32009R0663,"regulation.csv, search-results-emailed.csv"
299,32009R0715,"regulation.csv, search-results-emailed.csv"
300,32010A0318(01),"opinion.csv, search-results-emailed.csv"
301,32010A0320(01),"opinion.csv, search-results-emailed.csv"
302,32010A0414(01),"opinion.csv, search-results-emailed.csv"
303,32010A0415(01),"opinion.csv, search-results-emailed.csv"
304,32010A0804(01),"opinion.csv, search-results-emailed.csv"
305,32010A0928(01),"opinion.csv, search-results-emailed.csv"
306,32010A1222(01),"opinion.csv, search-results-emailed.csv"
307,32010D0222,"search-results-emailed.csv, decision.csv"
308,32010D0385,"search-results-emailed.csv, decision.csv"
309,32010D0398,"search-results-emailed.csv, decision.csv"
310,32010D0487,"search-results-emailed.csv, decision.csv"
311,32010D0488,"search-results-emailed.csv, decision.csv"
312,32010D0787,"search-results-emailed.csv, decision.csv"
313,32010H0635,"search-results-emailed.csv, recommendation.csv"
314,32010L0031,"directive.csv, search-results-emailed.csv"
315,32010R0617,"regulation.csv, search-results-emailed.csv"
316,32010R0838,"regulation.csv, search-results-emailed.csv"
317,32011A1222(01),"opinion.csv, search-results-emailed.csv"
318,32011A1222(02),"opinion.csv, search-results-emailed.csv"
319,32011D0186,"search-results-emailed.csv, decision.csv"
320,32011D0280,"search-results-emailed.csv, decision.csv"
321,32011D0334,"search-results-emailed.csv, decision.csv"
322,32011D0362,search-results-emailed.csv
323,32011D0374,search-results-emailed.csv
324,32011D0886,"search-results-emailed.csv, decision.csv"
325,32011R0327,"regulation.csv, search-results-emailed.csv"
326,32011R0626,"search-results-emailed.csv, delegated-regulation.csv"
327,32011R1227,"regulation.csv, search-results-emailed.csv"
328,32012D0055,"search-results-emailed.csv, decision.csv"
329,32012D0218,"search-results-emailed.csv, implementing-decision.csv"
330,32012D0413,"search-results-emailed.csv, decision.csv"
331,32012D0539,"search-results-emailed.csv, implementing-decision.csv"
332,32012D0709,search-results-emailed.csv
333,32012H0148,"search-results-emailed.csv, recommendation.csv"
334,32012L0027,"directive.csv, search-results-emailed.csv"
335,32012R0206,"regulation.csv, search-results-emailed.csv"
336,32012R0244,"search-results-emailed.csv, delegated-regulation.csv"
337,32012R0392,"search-results-emailed.csv, delegated-regulation.csv"
338,32012R0547,"regulation.csv, search-results-emailed.csv"
339,32012R0932,"regulation.csv, search-results-emailed.csv"
340,32013D0004,"search-results-emailed.csv, decision.csv"
341,32013D0242,"search-results-emailed.csv, implementing-decision.csv"
342,32013D0363,"search-results-emailed.csv, decision.csv"
343,32013D0408,"search-results-emailed.csv, decision.csv"
344,32013D0434,search-results-emailed.csv
345,32013D0442,"search-results-emailed.csv, decision.csv"
346,32013D0791,search-results-emailed.csv
347,32013D1130(01),"search-results-emailed.csv, decision.csv"
348,32013R0312,"search-results-emailed.csv, delegated-regulation.csv"
349,32013R0347,"regulation.csv, search-results-emailed.csv"
350,32013R0543,"regulation.csv, search-results-emailed.csv"
351,32013R0617,"regulation.csv, search-results-emailed.csv"
352,32013R0666,"regulation.csv, search-results-emailed.csv"
353,32013R0811,"search-results-emailed.csv, delegated-regulation.csv"
354,32013R0812,"search-results-emailed.csv, delegated-regulation.csv"
355,32013R0813,"regulation.csv, search-results-emailed.csv"
356,32013R0814,"regulation.csv, search-results-emailed.csv"
357,32014A1122(01),"opinion.csv, search-results-emailed.csv"
358,32014D0536,search-results-emailed.csv
359,32014D0713,"search-results-emailed.csv, decision.csv"
360,32014H0070,"search-results-emailed.csv, recommendation.csv"
361,32014H0724,"search-results-emailed.csv, recommendation.csv"
362,32014H0761,"search-results-emailed.csv, recommendation.csv"
363,32014L0077,"directive.csv, search-results-emailed.csv"
364,32014R0065,"search-results-emailed.csv, delegated-regulation.csv"
365,32014R0066,"regulation.csv, search-results-emailed.csv"
366,32014R0312,"regulation.csv, search-results-emailed.csv"
367,32014R0548,"regulation.csv, search-results-emailed.csv"
368,32014R1113,"implementing-regulation.csv, search-results-emailed.csv"
369,32014R1253,"regulation.csv, search-results-emailed.csv"
370,32014R1254,"search-results-emailed.csv, delegated-regulation.csv"
371,32014R1307,"regulation.csv, search-results-emailed.csv"
372,32014R1348,"implementing-regulation.csv, search-results-emailed.csv"
373,32015A0228(01),"opinion.csv, search-results-emailed.csv"
374,32015A1205(01),"opinion.csv, search-results-emailed.csv"
375,32015D1504,"search-results-emailed.csv, implementing-decision.csv"
376,32015D1773,"search-results-emailed.csv, decision.csv"
377,32015D1960,"search-results-emailed.csv, implementing-decision.csv"
378,32015L0652,"directive.csv, search-results-emailed.csv"
379,32015R0703,"regulation.csv, search-results-emailed.csv"
380,32015R0802,"regulation.csv, search-results-emailed.csv"
381,32015R1095,"regulation.csv, search-results-emailed.csv"
382,32015R1185,"regulation.csv, search-results-emailed.csv"
383,32015R1188,"regulation.csv, search-results-emailed.csv"
384,32015R1189,"regulation.csv, search-results-emailed.csv"
385,32015R1222,"regulation.csv, search-results-emailed.csv"
386,32015R2402,"search-results-emailed.csv, delegated-regulation.csv"
387,32016D1115(01),"search-results-emailed.csv, decision.csv"
388,32016D1674,"search-results-emailed.csv, implementing-decision.csv"
389,32016D1756,"search-results-emailed.csv, decision.csv"
390,32016D2001,"search-results-emailed.csv, decision.csv"
391,32016D2116,"search-results-emailed.csv, decision.csv"
392,32016R0631,"regulation.csv, search-results-emailed.csv"
393,32016R1055,"implementing-regulation.csv, search-results-emailed.csv"
394,32016R1388,"regulation.csv, search-results-emailed.csv"
395,32016R1447,"regulation.csv, search-results-emailed.csv"
396,32016R1719,"regulation.csv, search-results-emailed.csv"
397,32016R1952,"regulation.csv, search-results-emailed.csv"
398,32016R2281,"regulation.csv, search-results-emailed.csv"
399,32017A0608(01),"opinion.csv, search-results-emailed.csv"
400,32017D0089,"search-results-emailed.csv, implementing-decision.csv"
401,32017D0684,"search-results-emailed.csv, decision.csv"
402,32017D0783,"search-results-emailed.csv, decision.csv"
403,32017D0956,"search-results-emailed.csv, decision.csv"
404,32017D2409,"search-results-emailed.csv, implementing-decision.csv"
405,32017R0459,"regulation.csv, search-results-emailed.csv"
406,32017R0460,"regulation.csv, search-results-emailed.csv"
407,32017R1369,"regulation.csv, search-results-emailed.csv"
408,32017R1485,"regulation.csv, search-results-emailed.csv"
409,32017R1938,"regulation.csv, search-results-emailed.csv"
410,32017R2169,"implementing-regulation.csv, search-results-emailed.csv"
411,32017R2195,"regulation.csv, search-results-emailed.csv"
412,32017R2196,"regulation.csv, search-results-emailed.csv"
413,32018D0496,"search-results-emailed.csv, implementing-decision.csv"
414,32018D1134,"search-results-emailed.csv, implementing-decision.csv"
415,32018D1688,"search-results-emailed.csv, implementing-decision.csv"
416,32018D1734,"search-results-emailed.csv, implementing-decision.csv"
417,32018R1999,"regulation.csv, search-results-emailed.csv"
418,32019D1133,"search-results-emailed.csv, decision.csv"
419,32019D1945,"search-results-emailed.csv, decision.csv"
420,32019D1946,"search-results-emailed.csv, decision.csv"
421,32019L0944,"directive.csv, search-results-emailed.csv"
422,32019R0424,"regulation.csv, search-results-emailed.csv"
423,32019R0803,"implementing-regulation.csv, search-results-emailed.csv"
424,32019R0807,"search-results-emailed.csv, delegated-regulation.csv"
425,32019R0941,"regulation.csv, search-results-emailed.csv"
426,32019R0942,"regulation.csv, search-results-emailed.csv"
427,32019R0943,"regulation.csv, search-results-emailed.csv"
428,32019R1745,"search-results-emailed.csv, delegated-regulation.csv"
429,32019R1781,"regulation.csv, search-results-emailed.csv"
430,32019R1782,"regulation.csv, search-results-emailed.csv"
431,32019R1784,"regulation.csv, search-results-emailed.csv"
432,32019R2013,"search-results-emailed.csv, delegated-regulation.csv"
433,32019R2014,"search-results-emailed.csv, delegated-regulation.csv"
434,32019R2015,"search-results-emailed.csv, delegated-regulation.csv"
435,32019R2016,"search-results-emailed.csv, delegated-regulation.csv"
436,32019R2017,"search-results-emailed.csv, delegated-regulation.csv"
437,32019R2018,"search-results-emailed.csv, delegated-regulation.csv"
438,32019R2019,"regulation.csv, search-results-emailed.csv"
439,32019R2020,"regulation.csv, search-results-emailed.csv"
440,32019R2021,"regulation.csv, search-results-emailed.csv"
441,32019R2022,"regulation.csv, search-results-emailed.csv"
442,32019R2023,"regulation.csv, search-results-emailed.csv"
443,32019R2024,"regulation.csv, search-results-emailed.csv"
444,32020D0960,"search-results-emailed.csv, decision.csv"
445,32020D1479,"search-results-emailed.csv, implementing-decision.csv"
446,32020D2022,"search-results-emailed.csv, decision.csv"
447,32020D2023,"search-results-emailed.csv, decision.csv"
448,32020D2025,"search-results-emailed.csv, decision.csv"
449,32020D2123,"search-results-emailed.csv, decision.csv"
450,32020D2253,"search-results-emailed.csv, decision.csv"
451,32020D2255,"search-results-emailed.csv, decision.csv"
452,32020R0740,"regulation.csv, search-results-emailed.csv"
453,32020R1001,"implementing-regulation.csv, search-results-emailed.csv"
454,32020R1294,"implementing-regulation.csv, search-results-emailed.csv"
455,32020R2155,"search-results-emailed.csv, delegated-regulation.csv"
456,32020R2156,"implementing-regulation.csv, search-results-emailed.csv"
457,32021D0359,"search-results-emailed.csv, implementing-decision.csv"
458,32021D0390,"search-results-emailed.csv, decision.csv"
459,32021D0553,"search-results-emailed.csv, implementing-decision.csv"
460,32021D0986,"search-results-emailed.csv, decision.csv"
461,32021D1802,"search-results-emailed.csv, decision.csv"
462,32021D1919,"search-results-emailed.csv, decision.csv"
463,32021Q0618(01),"search-results-emailed.csv, decision.csv"
464,32021Q0618(02),"rules-of-procedure.csv, search-results-emailed.csv"
465,32021R0100,"regulation.csv, search-results-emailed.csv"
466,32021R0101,"regulation.csv, search-results-emailed.csv"
467,32021R0765,"regulation.csv, search-results-emailed.csv"
468,32021R2003,"search-results-emailed.csv, delegated-regulation.csv"
469,32022D0258,"search-results-emailed.csv, decision.csv"
470,32022D0589,"search-results-emailed.csv, decision.csv"
471,32022D0599,"search-results-emailed.csv, implementing-decision.csv"
472,32022D0600,"search-results-emailed.csv, implementing-decision.csv"
473,32022D0601,"search-results-emailed.csv, implementing-decision.csv"
474,32022D0602,"search-results-emailed.csv, implementing-decision.csv"
475,32022D0604,"search-results-emailed.csv, implementing-decision.csv"
476,32022D0605,"search-results-emailed.csv, implementing-decision.csv"
477,32022D0606,"search-results-emailed.csv, implementing-decision.csv"
478,32022D0607,"search-results-emailed.csv, implementing-decision.csv"
479,32022D0608,"search-results-emailed.csv, implementing-decision.csv"
480,32022D0609,"search-results-emailed.csv, implementing-decision.csv"
481,32022D0610,"search-results-emailed.csv, implementing-decision.csv"
482,32022D0611,"search-results-emailed.csv, implementing-decision.csv"
483,32022D1286,"search-results-emailed.csv, implementing-decision.csv"
484,32022D1296,"search-results-emailed.csv, implementing-decision.csv"
485,32022D1376,"search-results-emailed.csv, implementing-decision.csv"
486,32022D1655,"search-results-emailed.csv, implementing-decision.csv"
487,32022D1656,"search-results-emailed.csv, implementing-decision.csv"
488,32022D1657,"search-results-emailed.csv, implementing-decision.csv"
489,32022D1842,"search-results-emailed.csv, decision.csv"
490,32022D2461,"search-results-emailed.csv, implementing-decision.csv"
491,32022R0342,"search-results-emailed.csv, delegated-regulation.csv"
492,32022R0869,"regulation.csv, search-results-emailed.csv"
493,32022R0996,"implementing-regulation.csv, search-results-emailed.csv"
494,32022R1369,"regulation.csv, search-results-emailed.csv"
495,32022R1854,"regulation.csv, search-results-emailed.csv"
496,32022R2202,"search-results-emailed.csv, delegated-regulation.csv"
497,32022R2299,"implementing-regulation.csv, search-results-emailed.csv"
498,32022R2301,"implementing-regulation.csv, search-results-emailed.csv"
499,32022R2576,"regulation.csv, search-results-emailed.csv"
500,32022R2577,"regulation.csv, search-results-emailed.csv"
501,32022R2578,"regulation.csv, search-results-emailed.csv"
502,32023D0208(02),"search-results-emailed.csv, decision.csv"
503,32023D0225,"search-results-emailed.csv, decision.csv"
504,32023D0226,"search-results-emailed.csv, decision.csv"
505,32023D1112,"search-results-emailed.csv, decision.csv"
506,32023D1760,"search-results-emailed.csv, implementing-decision.csv"
507,32023D1978,"search-results-emailed.csv, implementing-decision.csv"
508,32023D2199,"search-results-emailed.csv, implementing-decision.csv"
509,32023L1791,"directive.csv, search-results-emailed.csv"
510,32023R0736,"implementing-regulation.csv, search-results-emailed.csv"
